size lang var cont dim AUC SD	
10% English 41 50 20 0.770271663523 0.0146868915042
10% English 41 50 50 0.775762722028 0.0119188293678
10% English 41 50 100 0.734097415475 0.0120660247517
10% English 41 50 200 0.736069160396 0.0143614978593
10% English 41 50 500 0.740160058895 0.0123315696773
10% English 80 50 5 0.711245957956 0.0145920775943
10% English 80 50 10 0.728449702852 0.0134803784423
10% English 80 50 20 0.728214308152 0.0135504647079
10% English 80 50 50 0.720909548419 0.0137332758658
10% English 80 50 100 0.704061841743 0.012705461368
10% English 80 50 200 0.70515759879 0.0146642195191
10% English 80 50 500 0.70119698664 0.0132567397003
10% English 160 50 5 0.70232673042 0.0148625221309
10% English 160 50 10 0.713229804489 0.0143168947064
10% English 160 50 20 0.711340337551 0.0129099328427
10% English 160 50 50 0.721045136742 0.0128217635878
10% English 160 50 100 0.695316587023 0.0129289672678
10% English 160 50 200 0.695712683225 0.0142226517685
10% English 160 50 500 0.695716598351 0.0133115459017
10% English 320 50 5 0.672343441009 0.0154886839943
10% English 320 50 10 0.675549139528 0.0148913590632
10% English 320 50 20 0.665808696395 0.0133029533714
10% English 320 50 50 0.67254048502 0.011740693789
10% English 320 50 100 0.654634280106 0.0125887000705
10% English 320 50 200 0.653400275268 0.0134857389604
10% English 320 50 500 0.655648207709 0.0137296641805
10% English 2 100 5 0.52209706289 0.0504919482005
10% English 2 100 10 0.514505001237 0.0524504924175
10% English 2 100 20 0.514287586626 0.0523624175181
10% English 2 100 50 0.485161142157 0.0508825453201
10% English 2 100 100 0.497334761338 0.0564124594584
10% English 2 100 200 0.504149567666 0.0564971491314
10% English 2 100 500 0.484895997996 0.0568108695379
10% English 4 100 5 0.532020600725 0.0379969708198
10% English 4 100 10 0.520242935281 0.0417183512378
10% English 4 100 20 0.531874198459 0.045051854297
10% English 4 100 50 0.538746305654 0.0420481536389
10% English 4 100 100 0.530361157879 0.0462796416932
10% English 4 100 200 0.537910398138 0.0419477317028
10% English 4 100 500 0.53789600047 0.0402987886594
10% English 10 100 5 0.558343856595 0.0315804149188
10% English 10 100 10 0.593482892702 0.0341178757659
10% English 10 100 20 0.590012244249 0.0285516373044
10% English 10 100 50 0.602661434679 0.0305270050849
10% English 10 100 100 0.598199871576 0.0304978397249
10% English 10 100 200 0.593979557141 0.0339892051258
10% English 10 100 500 0.59572380805 0.0330257086112
10% English 19 100 5 0.584676898479 0.043780912025
10% English 19 100 10 0.596876108183 0.0358076868891
10% English 19 100 20 0.602858769918 0.0369779431534
10% English 19 100 50 0.628216606306 0.0330400302243
10% English 19 100 100 0.617072073282 0.0330741072061
10% English 19 100 200 0.627797265111 0.034662358792
10% English 19 100 500 0.621327885407 0.0321829223213
10% English 41 100 5 0.740166417516 0.0153016386983
10% English 41 100 10 0.757486356992 0.0130659122016
10% English 41 100 20 0.757678760942 0.0143854580616
10% English 41 100 50 0.752304767906 0.0121854415316
10% English 41 100 100 0.75476954024 0.0150596277916
10% English 41 100 200 0.751303576381 0.0136402688831
10% English 41 100 500 0.754035178915 0.0140759865552
10% English 80 100 5 0.710789284203 0.0163146227944
10% English 80 100 10 0.726543230862 0.0159086014449
10% English 80 100 20 0.711121516242 0.0151168867501
10% English 80 100 50 0.711246099803 0.0123484908007
10% English 80 100 100 0.715900753059 0.0130793511807
10% English 80 100 200 0.714507527994 0.0143827627893
10% English 80 100 500 0.713505805893 0.0139681549616
10% English 160 100 5 0.701144649985 0.0172153258683
10% English 160 100 10 0.718697604699 0.013095498579
10% English 160 100 20 0.70493877199 0.0116445572091
10% English 160 100 50 0.689847458737 0.0152764481555
10% English 160 100 100 0.693484824691 0.0132207525819
10% English 160 100 200 0.688474273456 0.0141073906374
10% English 160 100 500 0.69318857224 0.0133641610579
10% English 320 100 5 0.660840956682 0.0156692980805
10% English 320 100 10 0.673597424886 0.0133623597869
10% English 320 100 20 0.664466286749 0.0131393100429
10% English 320 100 50 0.668603227125 0.0125492182753
10% English 320 100 100 0.667930218564 0.0124085391229
10% English 320 100 200 0.668381100835 0.0143146613544
10% English 320 100 500 0.667819837741 0.0144882752099
10% Japanese 2 20 5 0.564089455143 0.0534119325948
10% Japanese 2 20 10 0.522260386891 0.0467892717089
10% Japanese 2 20 20 0.536690754064 0.0505931689087
10% Japanese 2 20 50 0.562717017832 0.0538678500737
10% Japanese 2 20 100 0.553861630493 0.046547309407
10% Japanese 2 20 200 0.562363710633 0.0560470280201
10% Japanese 2 20 500 0.590246273441 0.0541361150793
10% Japanese 4 20 5 0.504430194605 0.0397403392673
10% Japanese 4 20 10 0.501606480221 0.0434566705326
10% Japanese 4 20 20 0.504380898098 0.0434199633173
10% Japanese 4 20 50 0.500965804111 0.0391592955914
10% Japanese 4 20 100 0.497236040232 0.0388604702747
10% Japanese 4 20 200 0.506272743013 0.0430782824162
10% Japanese 4 20 500 0.504222808864 0.0390503619686
10% Japanese 8 20 5 0.579176328765 0.0277768985562
10% Japanese 8 20 10 0.616247860503 0.0244368223752
10% Japanese 8 20 20 0.630687208535 0.0238402073294
10% Japanese 8 20 50 0.61653158438 0.0206533930392
10% Japanese 8 20 100 0.616350082415 0.0235147989638
10% Japanese 8 20 200 0.618926665698 0.0250243899839
10% Japanese 8 20 500 0.602101712855 0.0227238676817
10% Japanese 13 20 5 0.582071819087 0.0302316118082
10% Japanese 13 20 10 0.593738863628 0.0242970034454
